id,name,description,max_attempts,value,category,type,state,requirements
25,Challenge-5,Dicta voluptas quam.,0,800,Developer,integrated,visible,{u'prerequisites': [1]}
26,Challenge-6,Autem facilis facilis neque id fugit voluptatibus nostrum.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
27,Challenge-7,Fugit repellendus illo omnis ex optio corporis corporis.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
28,Challenge-8,Consequatur occaecati distinctio aut.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
29,Challenge-9,Reiciendis odit sequi sit molestias accusantium.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
30,Challenge-10,Distinctio repellat nihil nemo sint ea.,0,500,Developer,integrated,visible,{u'prerequisites': [1]}
31,Trivia001,Quae occaecati expedita aliquam repudiandae.,3,300,Trivia,standard,visible,
32,Trivia002,Exercitationem sit ducimus animi necessitatibus facere.,3,300,Trivia,standard,visible,
33,Trivia003,Inventore unde dolor accusamus.,3,300,Trivia,standard,visible,
34,Trivia004,Totam ad totam nostrum atque autem.,3,500,Trivia,standard,visible,
35,Trivia005,Repellat eligendi aspernatur quis assumenda provident molestiae provident.,4,500,Trivia,standard,visible,
36,Trivia006,Aut deleniti corrupti perspiciatis cum illo.,4,300,Trivia,standard,visible,
37,Trivia007,Iusto id sunt.,3,300,Trivia,standard,visible,
38,Trivia008,Nostrum exercitationem itaque quae odio labore expedita.,3,300,Trivia,standard,visible,
39,Trivia009,Dignissimos at aliquam odit.,3,300,Trivia,standard,visible,
40,Trivia010,Placeat minima tenetur dicta doloremque dignissimos voluptates.,3,500,Trivia,standard,visible,
41,Trivia011,Magni repellat quo quae vel ipsum nihil.,3,500,Trivia,standard,visible,
42,Trivia012,Est occaecati hic reiciendis harum.,1,100,Trivia,standard,visible,
43,Trivia013,Expedita soluta reprehenderit culpa.,1,100,Trivia,standard,visible,
44,Trivia014,Totam impedit quam at id.,1,100,Trivia,standard,visible,
45,Trivia015,Non maiores at laborum.,1,100,Trivia,standard,visible,
46,Trivia016,Occaecati eveniet vero eveniet temporibus libero.,1,100,Trivia,standard,visible,
47,Trivia017,Nulla porro nemo.,1,100,Trivia,standard,visible,
48,Trivia018,Quod deleniti excepturi deleniti deleniti beatae accusamus.,1,100,Trivia,standard,visible,
49,Trivia019,Architecto porro asperiores exercitationem tempora id sit.,1,100,Trivia,standard,visible,
50,Trivia020,Illo cumque itaque sequi impedit provident culpa.,1,100,Trivia,standard,visible,
51,Trivia021,Facilis fugiat vitae inventore dolorum.,1,100,Trivia,standard,visible,
52,Trivia022,Sit eaque iste repudiandae quod sit libero.,3,500,Trivia,standard,visible,
53,Trivia023,Eaque vitae voluptas officiis.,3,500,Trivia,standard,visible,
54,Trivia024,Possimus porro dolorum ullam officiis pariatur inventore dolore.,1,300,Trivia,standard,visible,
55,Trivia025,Fugit earum occaecati totam.,3,500,Trivia,standard,visible,
56,Trivia026,Sit soluta dolorum.,3,500,Trivia,standard,visible,
57,Trivia027,Ullam quod nesciunt tenetur voluptates amet.,1,300,Trivia,standard,visible,
58,Trivia028,Voluptas eligendi dolore aut sapiente et voluptates iste.,3,100,Trivia,standard,visible,
59,Trivia029,Iusto consequuntur autem veritatis.,1,100,Trivia,standard,visible,
60,Trivia030,Maiores accusamus eaque.,3,100,Trivia,standard,visible,
61,Trivia031,A a cupiditate molestiae aperiam necessitatibus.,3,100,Trivia,standard,visible,
62,Trivia032,Odit dignissimos molestias necessitatibus nulla omnis.,3,100,Trivia,standard,visible,
63,Trivia033,Sequi fuga optio saepe.,3,100,Trivia,standard,visible,
64,Trivia034,Commodi ex eum sit.,3,100,Trivia,standard,visible,
65,Trivia035,Ut dolores voluptates eos.,3,100,Trivia,standard,visible,
66,Trivia036,Facere tempore laboriosam doloribus quos.,3,100,Trivia,standard,visible,
67,Trivia037,Quo libero minus rerum veritatis sint esse.,3,100,Trivia,standard,visible,
68,Trivia038,Iste nemo quam pariatur maiores.,3,100,Trivia,standard,visible,
69,Trivia039,Sequi consectetur quis cumque.,2,100,Trivia,standard,visible,
70,Trivia040,Quod sint delectus laboriosam iusto totam voluptate perspiciatis.,1,100,Trivia,standard,visible,
71,Trivia041,Velit nulla aspernatur possimus beatae dolores ea itaque.,2,100,Trivia,standard,visible,
72,Trivia042,Pariatur possimus laudantium quo molestiae non cumque.,3,500,Trivia,standard,visible,
73,Trivia043,Sapiente nihil ipsa enim ex animi.,3,300,Trivia,standard,visible,
74,Trivia044,Mollitia consequuntur commodi fuga qui facilis.,4,500,Trivia,standard,visible,
75,Trivia045,Vero velit cum tempora.,2,100,Trivia,standard,visible,
76,Trivia046,Magni at nobis quam aliquam.,3,100,Trivia,standard,visible,
77,Bonus Admin Challenge,Expedita occaecati repellat similique veniam excepturi ipsam.,0,1000,Bonus,standard,visible,"{u'prerequisites': [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 1]}"
78,Visit Administrators Booth,Dolores laboriosam recusandae sapiente a quis quaerat.,0,250,Bonus,standard,visible,
79,Visit Developer Booth,Quaerat velit vitae atque aut.,0,250,Bonus,standard,visible,
